Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
,112070,211,"P24 On at ""Out""","Before
-10 from this cell
+10 from prev cell",ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 18.55,112780,710,P123 Off,"On
+10 from prev cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 19.66,113898,1118,All On,Before (Will do this on aggregate doc),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
6.996,115259,1361,"P3 Legs On
","On
TEN FEET BEGINS",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,,ALL_OFF,,,,,,,,
,115750,491,P4 Legs On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,
7.973,116232,482,"P34 Off
P12 Mid Bottom Fourth On",On,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
8.179,116473,241,"P34 Mid Top Fourth On
P12 Off",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,0,0,1,0,1,0,,0,0,0,0,1,0,1,0
8.539,116833,360,"P12 Top Fourth On
P34 Off",On,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
8.899,117132,299,P12 Arms On,On,,1,1,0,0,1,0,0,0,,1,1,0,0,1,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,117371,239,P12 Torso P and Head On,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,117610,239,P12 Legs On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
